yr,service,inci_id,calltime,case_id,callsource,nature,closecode,closed_as,secs_to_disp,secs_to_arrv,secs_to_close,disp,arrv,beat,priority,zip,primeunit,units_dispd,units_arrived
2014,LAW ,14198971,2014-09-01 20:42:13.000,,SELF,ASSIST PUBLIC- POLICE,ASST,ASSISTED,0.0,0.0,2733,1,1,EP05,P,97402,CAHOOT,1,1
2014,LAW ,14198972,2014-09-01 20:42:53.000,,W911,CHECK WELFARE,INFO,INFORMATION ONLY,5897.0,,5901,1,0,EP02,3,97401,6E28  ,2,2
2014,LAW ,14198974,2014-09-01 20:43:14.000,,PHONE,FOUND ANIMAL,INFO,INFORMATION ONLY,,,474,0,0,EP02,P,97402,,0,0
2014,LAW ,14198976,2014-09-01 20:46:48.000,,PHONE,TRANSPORT,ASST,ASSISTED,71.0,6089.0,6182,1,1,EP02,5,97401,CAHOOT,2,1
2014,LAW ,14198977,2014-09-01 20:47:42.000,,PHONE,ASSIST PUBLIC- POLICE,DIS ,DISREGARD,,,1146,0,0,EP04,5,97405,CAHOOT,0,0
2014,LAW ,14198978,2014-09-01 20:49:02.000,,PHONE,BEAT INFORMATION,INFO,INFORMATION ONLY,1178.0,,1185,1,0,EP05,5,97402,5E58  ,1,1
2014,LAW ,14198982,2014-09-01 20:54:34.000,,PHONE,DISORDERLY SUBJECT,PCHK,PATROL CHECK,1047.0,1457.0,1794,1,1,EP03,3,97403,5E47  ,2,2
2014,LAW ,14198983,2014-09-01 20:55:27.000,,PHONE,SUICIDAL SUBJECT,ASST,ASSISTED,36.0,1020.0,5461,1,1,EP06,1,97404,CAHOOT,1,1
2014,LAW ,14198986,2014-09-01 20:59:22.000,,PHONE,BEAT INFORMATION,INFO,INFORMATION ONLY,,,2831,0,0,EP01,5,97401,,0,0
2014,LAW ,14198987,2014-09-01 21:03:07.000,,PHONE,AUDIBLE ALARM,INFO,INFORMATION ONLY,,,117,0,0,EP01,P,97408,,0,0
2014,LAW ,14198988,2014-09-01 21:06:06.000,,SELF,PERSON STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,1385,1,1,EP06,6,97404,4V77  ,1,1
2014,LAW ,14198990,2014-09-01 21:06:50.000,,PHONE,ALARM,INFO,INFORMATION ONLY,,,180,0,0,EP01,P,97408,,0,0
2014,LAW ,14198991,2014-09-01 21:15:14.000,,W911,CHECK WELFARE,PCHK,PATROL CHECK,398.0,425.0,673,1,1,EP05,3,97402,5E55  ,2,2
2014,LAW ,14198994,2014-09-01 21:18:04.000,,W911,CHECK WELFARE,WELC,WELFARE CHECK DONE,514.0,856.0,3443,1,1,EP04,3,97402,5E47  ,3,3
2014,LAW ,14199000,2014-09-01 21:24:06.000,,E911,DISPUTE,ASST,ASSISTED,3335.0,3761.0,6001,1,1,EP04,3,97402,5E47  ,2,2
2014,LAW ,14199005,2014-09-01 21:33:26.000,,PHONE,ILLEGAL PARKING,DDIS,DISREGARDED BY DISPATCH,,,4436,0,0,EP01,5,97408,,0,0
2014,LAW ,14199007,2014-09-01 21:37:36.000,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,3149,1,1,EP01,6,97401,4V77  ,1,1
2014,LAW ,14199014,2014-09-01 21:49:42.000,,W911,MENACING,ADVI,ADVISED,69.0,365.0,2139,1,1,EP05,P,97402,5E62  ,4,4
2014,LAW ,14199019,2014-09-01 21:52:02.000,,W911,VEHICLE/PEDESTRIAN CRASH,DIS ,DISREGARD,,,904,0,0,EP03,1,97401,,0,0
2014,LAW ,14199021,2014-09-01 21:53:56.000,,W911,SUSPICIOUS CONDITIONS,FUP ,FOLLOW UP INVESTIGATION,9915.0,9915.0,9933,1,1,EP01,3,97401,6E19  ,1,1
2014,LAW ,14199025,2014-09-01 21:58:21.000,1414780,W911,CRIMINAL TRESPASS,REPT,REPORT TAKEN,1478.0,1727.0,11365,1,1,EP01,3,97401,6E19  ,7,7
2014,LAW ,14199026,2014-09-01 21:58:39.000,1414778,W911,MENACING,REPT,REPORT TAKEN,344.0,551.0,9748,1,1,EP06,3,97404,5E55  ,3,3
